player_id,name,field_goal_percentage,three_point_percentage,free_throw_percentage,rebounds,assists,steals,blocks,turnovers,points
146,De'Aaron Fox,0.43,0.333,0.71,4,7,0.8,0.6,4.1,18.2
147,Melvin Frazier,0.167,0,,0.3,0.3,0,0,0,0.5
148,Tim Frazier,0.214,0.214,0.786,1,2.9,0.6,0.2,0.9,2.5
149,Markelle Fultz,0.491,0.216,0.787,2.6,3.9,1.3,0.2,1.8,12
150,Wenyen Gabriel,0.313,0.125,0.556,1.1,0.4,0.3,0.3,0.4,2.3
151,Daniel Gafford,0.735,,0.476,1.9,0.1,0,0.8,0.1,4.3
152,Danilo Gallinari,0.449,0.418,0.921,5.7,2.2,0.7,0.1,1.2,18.6
153,Langston Galloway,0.443,0.425,0.9,2.1,1.6,0.6,0.3,0.7,12.3
154,Darius Garland,0.378,0.363,0.852,1.7,2.9,0.8,0,2.5,10.7
155,Marc Gasol,0.344,0.366,0.792,6.3,3.5,0.6,1,1.3,6.4
156,Rudy Gay,0.459,0.274,0.889,5.9,1.9,0.4,0.6,1.7,11.3
157,Paul George,0.446,0.427,0.927,6.2,3.3,1.2,0.4,3.7,22.7
158,Taj Gibson,0.521,0.222,0.6,4.5,1.1,0.7,0.3,0.7,5.5
159,Harry Giles,0.44,,1,1,0.7,0.3,0.4,0.7,3.4
160,Shai Gilgeous-Alexander,0.44,0.349,0.811,5,3,1,0.5,2.2,18.6
161,Rudy Gobert,0.654,,0.612,13.5,1.2,0.9,2,2.2,14
162,Brandon Goodwin,0,0,,0,0,0,0,1,0
163,Aaron Gordon,0.433,0.324,0.714,6.5,2.9,0.7,0.5,1.3,13.8
164,Eric Gordon,0.309,0.284,0.643,1.9,0.8,0.6,0.2,1.3,10.9
165,Devonte' Graham,0.412,0.421,0.82,3.7,7.8,0.6,0.2,3.2,19.1
166,Treveon Graham,0.346,0.2,0.818,3.7,1.2,0.7,0.1,0.7,6.1
167,Jerami Grant,0.445,0.323,0.595,3.6,1.1,0.3,0.6,0.8,9.2
168,Josh Gray,0.5,,,1,1,0,0,2.5,1
169,Danny Green,0.424,0.384,0.727,3.6,1.2,1.3,0.5,1,8
170,Draymond Green,0.398,0.27,0.714,6.1,5.6,1.6,0.5,2.2,8.3
171,JaMychal Green,0.417,0.382,0.857,6.9,0.5,0.6,0.3,1,7.7
172,Javonte Green,0.588,0.3,0.4,1,0.3,0.3,0.1,0.2,3
173,Jeff Green,0.375,0.316,0.796,2.9,0.6,0.5,0.5,1.1,8
174,Blake Griffin,0.415,0.324,0.775,5,3.5,0.4,0.4,2.6,19.4
175,Marko Guduric,0.38,0.302,1,2,1.5,0.3,0.2,1.1,5.2
176,Rui Hachimura,0.49,0.209,0.868,5.7,1.6,0.8,0.1,0.9,14.1
177,Devon Hall,0.2,0,0.75,0.3,0.7,0,0,0.3,1.7
178,Tim Hardaway,0.409,0.354,0.809,2.1,1.7,0.6,0.1,0.6,12.4
179,James Harden,0.438,0.348,0.878,6.1,7.5,2,0.5,5.1,38.7
180,Maurice Harkless,0.481,0.353,0.5,2.9,1.2,1,0.7,0.9,5.3
181,Jared Harper,0,0,,0,0,0,0,0,0
182,Montrezl Harrell,0.597,0,0.625,8,2.2,0.8,1.2,1.7,18.7
183,Gary Harris,0.42,0.363,0.759,3.1,1.8,1.2,0.3,1,10.7
184,Joe Harris,0.488,0.457,0.773,3.8,2,0.8,0.4,1.3,14.9
185,Tobias Harris,0.487,0.302,0.787,7.2,3.1,1,0.8,2.1,19.1
186,Shaquille Harrison,0.409,0.333,0.563,2.1,1.4,0.4,0.3,0.4,3.7
187,Josh Hart,0.433,0.37,0.765,6.4,1.3,1.1,0.4,1.3,11.7
188,Isaiah Hartenstein,0.733,0,0.818,3.6,0.6,0.3,0.6,0.9,4.4
189,Udonis Haslem,1,,0.75,1.5,0,0,0,0,2.5
190,Jaxson Hayes,0.625,0,0.643,4.6,0.7,0.7,1.2,0.9,8.7
191,Gordon Hayward,0.555,0.433,0.842,7.1,4.1,0.8,0.3,1.9,18.9
192,John Henson,0.5,0,0.25,3.3,1.3,1,2,1.3,3.3
193,Dewan Hernandez,0.2,0,1,2.3,0,0.3,0,0.3,1.3
194,Juan Hernangomez,0.396,0.364,0.429,2.5,0.8,0.1,0.2,0.7,4.4
195,Willy Hernangomez,0.45,0.4,0.5,3,0.3,0.1,0.4,0.7,3.4
196,Tyler Herro,0.448,0.385,0.822,4,2,0.8,0.1,2,14
197,Mario Hezonja,0.356,0.323,0.84,4.4,1.1,0.6,0.1,1,4.8
198,Buddy Hield,0.409,0.355,0.849,4.9,2.6,0.8,0.4,2.6,21
199,George Hill,0.531,0.516,0.833,2.9,3.2,0.8,0.1,0.7,9.4
200,Solomon Hill,0.436,0.411,0.625,3.3,1.8,0.9,0.1,0.8,6.4
201,Jaylen Hoard,0.5,,,1.3,0.3,0.3,0,0,0.7
202,Aaron Holiday,0.405,0.4,0.9,2.5,2.7,0.9,0.1,1.4,8.8
203,Jrue Holiday,0.447,0.346,0.719,5.1,6.9,2.1,0.8,3.4,19.5
204,Justin Holiday,0.429,0.402,0.826,3.8,1.5,1,0.7,0.6,7.9
205,Rondae Hollis-Jefferson,0.549,0,0.706,5.9,1.6,0.7,0.4,1.2,8.9
206,Richaun Holmes,0.669,,0.76,8.6,1,0.9,1.4,1,12.4
207,Rodney Hood,0.506,0.493,0.778,3.4,1.5,0.8,0.2,0.9,11
208,Al Horford,0.483,0.388,0.686,7,4,1,1,1.2,14.4
209,Danuel House,0.472,0.438,0.811,4.3,1.3,1.2,0.7,0.9,12.6
210,Dwight Howard,0.75,0.5,0.508,7.1,0.8,0.4,1.4,1.1,7
211,Kevin Huerter,0.416,0.378,0.8,3.3,2.7,0.6,0.4,1.5,8.5
212,De'Andre Hunter,0.396,0.364,0.792,4.1,1.7,0.6,0.2,1.8,12.2
213,Chandler Hutchison,0.455,0.417,0.655,3.7,0.9,0.6,0.2,1.3,7.1
214,Serge Ibaka,0.491,0.346,0.833,6.4,1,0.5,1,2.2,13.5
215,Ersan Ilyasova,0.474,0.288,0.839,4.7,0.6,0.5,0.3,0.3,7.1
216,Joe Ingles,0.358,0.309,0.733,4.2,3.6,0.8,0.1,1.5,7.2
217,Brandon Ingram,0.492,0.423,0.838,7.2,4.1,0.8,1,2.9,25.2
218,Kyrie Irving,0.444,0.341,0.937,5.4,7.2,1.1,0.5,2.4,28.5
219,Jonathan Isaac,0.453,0.333,0.786,7.2,1.4,1.4,2.8,1.6,12.5
220,Wesley Iwundu,0.286,0.111,0.833,2.1,0.8,0.5,0.3,0.4,3.3
221,Frank Jackson,0.368,0.313,0.8,1.5,1.1,0.5,0.1,1,7.1
222,Jaren Jackson,0.449,0.387,0.818,4.9,1.4,0.5,1.2,1.8,15.7
223,Justin Jackson,0.475,0.442,0.818,2.6,0.4,0.2,0.1,0.2,6.4
224,Reggie Jackson,0.364,0.2,1,2.5,4,0,0,0.5,5
225,Justin James,0.409,0.214,0.167,1.8,0.8,0.4,0.5,0.5,3.6
226,LeBron James,0.497,0.341,0.701,7,10.7,1.3,0.6,3.7,25.6
227,Amile Jefferson,1,,,1,0.5,0,0,0.3,1.5
228,DaQuan Jeffries,1,,,0.5,0.5,0,0,0,1
229,Ty Jerome,0.308,0.333,1,2,4,2.3,0,1.7,3.7
230,Alize Johnson,0.455,,0.75,1.5,0.3,0,0,0.1,1.6
231,B.J. Johnson,,,,0,0,0,0,0,0
232,Cameron Johnson,0.442,0.418,0.941,2.9,0.8,0.6,0.3,0.7,9.3
233,James Johnson,0.444,0.222,0.5,1.8,0.7,0.5,0.3,0.7,3.3
234,Keldon Johnson,0,,,0,0,0,0,0,0
235,Stanley Johnson,0.333,0.25,,1.4,0,0.2,0,0.8,1.4
236,Tyler Johnson,0.4,0.333,0.75,1.9,2.3,0.3,0.3,1.1,6.9
237,Nikola Jokic,0.464,0.221,0.788,10.1,6.1,1.2,0.6,2.6,15.7
238,Damian Jones,0.716,0.4,0.674,4,0.8,0.5,0.8,0.7,8
239,Derrick Jones,0.5,0.25,0.75,2,0.8,0.9,0.3,0.8,4.8
240,Tyus Jones,0.372,0.188,0.72,1.5,4.7,0.8,0.1,1.3,6
241,DeAndre Jordan,0.696,,0.667,9.4,2.1,0.4,1.1,1.1,8.2
242,Cory Joseph,0.364,0.229,1,2.7,4,0.7,0.5,1.4,5.7
243,Mfiondu Kabengele,0.412,0.444,1,0.7,0,0.1,0.1,0,3
244,Frank Kaminsky,0.435,0.312,0.672,5.3,2.1,0.4,0.4,1.1,11
245,Enes Kanter,0.588,0,0.657,5.9,1.1,0.6,0.4,0.8,7.4
246,Luke Kennard,0.449,0.408,0.891,3.5,4.3,0.5,0.2,1.5,16.4
247,Stanton Kidd,0,0,,0.8,0.3,0,0,0.5,0
248,Michael Kidd-Gilchrist,0.2,0.333,1,3,0.5,0,0,0.5,3.5
249,Maxi Kleber,0.434,0.38,0.893,5.9,1.1,0.3,0.7,0.7,8.4
250,Brandon Knight,0.333,0.346,0.5,1,1.9,0.6,0,0.9,4.7
251,Kevin Knox,0.371,0.359,0.66,3,1.2,0.5,0.3,0.7,7.9
252,John Konchar,,,,0,0,0,0,0,0
253,Furkan Korkmaz,0.433,0.367,0.81,2.2,0.8,0.3,0.2,0.8,9
254,Luke Kornet,0.326,0.192,1,1.7,0.5,0.2,0.8,0.3,3.3
255,Kyle Korver,0.37,0.377,0.818,1.6,0.8,0.4,0.2,0.8,5.6
256,Rodions Kurucs,0.391,0.429,0.333,2.2,0.1,0.5,0,1.2,2.3
257,Kyle Kuzma,0.433,0.36,0.692,3.5,0.8,0.3,0.4,1.8,11.3
258,Skal Labissiere,0.579,0.25,0.682,5,1.1,0.3,1,1,6.1
